"date","location","observation","age_group","target"
2024-11-02,"02",9,"0-130","inc hosp"
2024-11-09,"02",14,"0-130","inc hosp"
2024-11-16,"02",11,"0-130","inc hosp"
2024-11-23,"02",10,"0-130","inc hosp"
2024-11-30,"02",6,"0-130","inc hosp"
2024-12-07,"02",18,"0-130","inc hosp"
2024-12-14,"02",10,"0-130","inc hosp"
2024-12-21,"02",12,"0-130","inc hosp"
2024-12-28,"02",18,"0-130","inc hosp"
2025-01-04,"02",8,"0-130","inc hosp"
2025-01-11,"02",19,"0-130","inc hosp"
2025-01-18,"02",8,"0-130","inc hosp"
2025-01-25,"02",9,"0-130","inc hosp"
2025-02-01,"02",10,"0-130","inc hosp"
2025-02-08,"02",10,"0-130","inc hosp"
2025-02-15,"02",15,"0-130","inc hosp"
2025-02-22,"02",12,"0-130","inc hosp"
2025-03-01,"02",21,"0-130","inc hosp"
2025-03-08,"02",19,"0-130","inc hosp"
2025-03-15,"02",20,"0-130","inc hosp"
2025-03-22,"02",13,"0-130","inc hosp"
2025-03-29,"02",12,"0-130","inc hosp"
2025-04-05,"02",9,"0-130","inc hosp"
2025-04-12,"02",4,"0-130","inc hosp"
2025-04-19,"02",10,"0-130","inc hosp"
2025-04-26,"02",7,"0-130","inc hosp"
2025-05-03,"02",10,"0-130","inc hosp"
2025-05-10,"02",9,"0-130","inc hosp"
2025-05-17,"02",7,"0-130","inc hosp"
2025-05-24,"02",11,"0-130","inc hosp"
2025-05-31,"02",10,"0-130","inc hosp"
2025-06-07,"02",12,"0-130","inc hosp"
2025-06-14,"02",15,"0-130","inc hosp"
2025-06-21,"02",13,"0-130","inc hosp"
2025-06-28,"02",12,"0-130","inc hosp"
2025-07-05,"02",12,"0-130","inc hosp"
2025-07-12,"02",5,"0-130","inc hosp"
2025-07-19,"02",16,"0-130","inc hosp"
2025-07-26,"02",11,"0-130","inc hosp"
2025-08-02,"02",18,"0-130","inc hosp"
2025-08-09,"02",9,"0-130","inc hosp"
2025-08-16,"02",10,"0-130","inc hosp"
2025-08-23,"02",14,"0-130","inc hosp"
2025-08-30,"02",16,"0-130","inc hosp"
2025-09-06,"02",21,"0-130","inc hosp"
2025-09-13,"02",20,"0-130","inc hosp"
2025-09-20,"02",15,"0-130","inc hosp"
2025-09-27,"02",14,"0-130","inc hosp"
2024-11-09,"01",115,"0-130","inc hosp"
2024-11-16,"01",82,"0-130","inc hosp"
2024-11-23,"01",71,"0-130","inc hosp"
2024-11-30,"01",90,"0-130","inc hosp"
2024-12-07,"01",100,"0-130","inc hosp"
2024-12-14,"01",111,"0-130","inc hosp"
2024-12-21,"01",149,"0-130","inc hosp"
2024-12-28,"01",215,"0-130","inc hosp"
2025-01-04,"01",220,"0-130","inc hosp"
2025-01-11,"01",215,"0-130","inc hosp"
2025-01-18,"01",192,"0-130","inc hosp"
2025-01-25,"01",178,"0-130","inc hosp"
2025-02-01,"01",212,"0-130","inc hosp"
2025-02-08,"01",227,"0-130","inc hosp"
2025-02-15,"01",224,"0-130","inc hosp"
2025-02-22,"01",186,"0-130","inc hosp"
2025-03-01,"01",209,"0-130","inc hosp"
2025-03-08,"01",238,"0-130","inc hosp"
2025-03-15,"01",245,"0-130","inc hosp"
2025-03-22,"01",232,"0-130","inc hosp"
2025-03-29,"01",195,"0-130","inc hosp"
2025-04-05,"01",139,"0-130","inc hosp"
2025-04-12,"01",118,"0-130","inc hosp"
2025-04-19,"01",103,"0-130","inc hosp"
2025-04-26,"01",84,"0-130","inc hosp"
2025-05-03,"01",87,"0-130","inc hosp"
2025-05-10,"01",65,"0-130","inc hosp"
2025-05-17,"01",83,"0-130","inc hosp"
2025-05-24,"01",66,"0-130","inc hosp"
2025-05-31,"01",58,"0-130","inc hosp"
2025-06-07,"01",60,"0-130","inc hosp"
2025-06-14,"01",60,"0-130","inc hosp"
2025-06-21,"01",49,"0-130","inc hosp"
2025-06-28,"01",66,"0-130","inc hosp"
2025-07-05,"01",61,"0-130","inc hosp"
2025-07-12,"01",58,"0-130","inc hosp"
2025-07-19,"01",69,"0-130","inc hosp"
2025-07-26,"01",70,"0-130","inc hosp"
2025-08-02,"01",111,"0-130","inc hosp"
2025-08-09,"01",133,"0-130","inc hosp"
2025-08-16,"01",142,"0-130","inc hosp"
2025-08-23,"01",208,"0-130","inc hosp"
2025-08-30,"01",199,"0-130","inc hosp"
2025-09-06,"01",241,"0-130","inc hosp"
2025-09-13,"01",199,"0-130","inc hosp"
2025-09-20,"01",147,"0-130","inc hosp"
2025-09-27,"01",117,"0-130","inc hosp"
2024-11-09,"05",60,"0-130","inc hosp"
2024-11-16,"05",46,"0-130","inc hosp"
2024-11-23,"05",53,"0-130","inc hosp"
2024-11-30,"05",64,"0-130","inc hosp"
2024-12-07,"05",66,"0-130","inc hosp"
2024-12-14,"05",61,"0-130","inc hosp"
2024-12-21,"05",83,"0-130","inc hosp"
2024-12-28,"05",125,"0-130","inc hosp"
2025-01-04,"05",154,"0-130","inc hosp"
2025-01-11,"05",105,"0-130","inc hosp"
2025-01-18,"05",109,"0-130","inc hosp"
2025-01-25,"05",105,"0-130","inc hosp"
2025-02-01,"05",112,"0-130","inc hosp"
2025-02-08,"05",130,"0-130","inc hosp"
2025-02-15,"05",111,"0-130","inc hosp"
2025-02-22,"05",97,"0-130","inc hosp"
2025-03-01,"05",117,"0-130","inc hosp"
2025-03-08,"05",114,"0-130","inc hosp"
2025-03-15,"05",105,"0-130","inc hosp"
2025-03-22,"05",61,"0-130","inc hosp"
2025-03-29,"05",77,"0-130","inc hosp"
2025-04-05,"05",54,"0-130","inc hosp"
